judge,candidate,soundness,priors,code
claude-fable-5,claude-fable-5,5,5,5
claude-fable-5,claude-opus-4-8,5,5,5
claude-fable-5,gpt-5.5,5,5,5
claude-fable-5,gpt-5.5-pro,5,5,5
claude-fable-5,gemini-3.1-pro-preview,5,4,5
claude-fable-5,gpt-5.4-mini,4,4,5
claude-fable-5,gemini-3.5-flash,5,4,5
claude-fable-5,claude-sonnet-4-6,5,3,5
claude-fable-5,deepseek-v4-pro,4,3,5
claude-fable-5,claude-haiku-4-5-20251001,4,3,5
claude-fable-5,deepseek-v4-flash,4,3,5
claude-fable-5,gemini-3.1-flash-lite,4,3,3
gpt-5.5-pro,claude-fable-5,5,5,5
gpt-5.5-pro,claude-opus-4-8,4,5,5
gpt-5.5-pro,gpt-5.5,4,5,5
gpt-5.5-pro,gpt-5.5-pro,4,5,5
gpt-5.5-pro,gemini-3.1-pro-preview,4,4,5
gpt-5.5-pro,gpt-5.4-mini,4,5,5
gpt-5.5-pro,gemini-3.5-flash,3,3,5
gpt-5.5-pro,claude-sonnet-4-6,4,2,5
gpt-5.5-pro,deepseek-v4-pro,3,3,5
gpt-5.5-pro,claude-haiku-4-5-20251001,3,3,5
gpt-5.5-pro,deepseek-v4-flash,3,2,5
gpt-5.5-pro,gemini-3.1-flash-lite,3,3,3
gemini-3.1-pro-preview,claude-fable-5,5,5,5
gemini-3.1-pro-preview,claude-opus-4-8,5,5,5
gemini-3.1-pro-preview,gpt-5.5,5,5,5
gemini-3.1-pro-preview,gpt-5.5-pro,5,5,5
gemini-3.1-pro-preview,gemini-3.1-pro-preview,5,5,5
gemini-3.1-pro-preview,gpt-5.4-mini,2,5,5
gemini-3.1-pro-preview,gemini-3.5-flash,4,4,4
gemini-3.1-pro-preview,claude-sonnet-4-6,4,3,4
gemini-3.1-pro-preview,deepseek-v4-pro,4,4,5
gemini-3.1-pro-preview,claude-haiku-4-5-20251001,5,3,5
gemini-3.1-pro-preview,deepseek-v4-flash,4,3,5
gemini-3.1-pro-preview,gemini-3.1-flash-lite,4,4,4
deepseek-v4-pro,claude-fable-5,5,5,5
deepseek-v4-pro,claude-opus-4-8,5,5,5
deepseek-v4-pro,gpt-5.5,5,5,5
deepseek-v4-pro,gpt-5.5-pro,5,5,5
deepseek-v4-pro,gemini-3.1-pro-preview,5,4,5
deepseek-v4-pro,gpt-5.4-mini,4,5,5
deepseek-v4-pro,gemini-3.5-flash,5,4,5
deepseek-v4-pro,claude-sonnet-4-6,5,3,5
deepseek-v4-pro,deepseek-v4-pro,4,3,5
deepseek-v4-pro,claude-haiku-4-5-20251001,3,3,5
deepseek-v4-pro,deepseek-v4-flash,4,3,5
deepseek-v4-pro,gemini-3.1-flash-lite,5,3,4
